,Tv shows,Actors,Rating
2015,Daredevil,"Charlie Cox, Vincent D'Onofrio",8.574527781564166
1987,Blackadder the Third,"Rowan Atkinson, Tony Robinson",8.57428447272638
2018,Sacred Games,"Saif Ali Khan, Nawazuddin Siddiqui",8.571709738526021
2012,Line of Duty,"Martin Compston, Vicky McClure",8.570649981446273
2010,Through the Wormhole,"Morgan Freeman, Sean Carroll",8.570599656361425
2007,Mad Men,"Jon Hamm, Elisabeth Moss",8.570349607630824
2015,Making a Murderer,"Dolores Avery, Steven Avery",8.570219759307216
2003,QI,"Alan Davies, Stephen Fry",8.568293296055375
2012,Satyamev Jayate,"Aamir Khan, Devendra Singh Gaur",8.566132851689565
2017,Mindhunter,"Jonathan Groff, Holt McCallany",8.565159132336719
1960,The Bugs Bunny Show,"Mel Blanc, June Foray",8.562583424937376
2004,North & South,"Daniela Denby-Ashe, Richard Armitage",8.560931830676056
2004,Long Way Round,"Ewan McGregor, Charley Boorman",8.55864626453225
2018,Yeh Meri Family,"Vishesh Bansal, Mona Singh",8.554603035689727
2003,Peep Show,"David Mitchell, Robert Webb",8.553117604625239
2012,The Eric Andre Show,"Eric André, Hannibal Buress",8.551051295057775
1995,Father Ted,"Dermot Morgan, Ardal O'Hanlon",8.550227149875525
1968,MisteRogers' Neighborhood,"Fred Rogers, Betty Aberlin",8.545484906031628
1977,Mind Your Language,"Barry Evans, George Camiller",8.540089611523188
2012,The Newsroom,"Jeff Daniels, Emily Mortimer",8.538260205288939
1999,Spaced,"Jessica Hynes, Simon Pegg",8.53713473330561
2015,Skam,"Josefine Frida Pettersen, Lisa Teige",8.531397798644214
2005,Doctor Who,"Jodie Whittaker, Peter Capaldi",8.529599698666614
2011,Shameless,"Emmy Rossum, William H. Macy",8.529441650962143
2004,Monster,"Hidenobu Kiuchi, Liam O'Brien",8.527353639597344
2014,Umbre,"Serban Pavlu, Maria Obretin",8.5273203928687
2019,"Love, Death & Robots","Scott Whyte, Nolan North",8.526420677500074
1972,El Chavo del Ocho,"Ramón Valdés, Carlos Villagrán",8.526180937828977
1980,Yes Minister,"Paul Eddington, Nigel Hawthorne",8.526079047233585
2010,Behzat Ç.: Bir Ankara Polisiyesi,"Erdal Besikçioglu, Inanç Konukçu",8.525320834223834
1998,From the Earth to the Moon,"Tom Hanks, Nick Searcy",8.525012832004583
1997,Brass Eye,"Christopher Morris, Mark Heap",8.523591571273311
2003,Hagane no renkinjutsushi,"Vic Mignogna, Aaron Dismuke",8.522234792687488
2015,Chef's Table,"Dan Barber, Massimo Bottura",8.520131054162544
2010,Justified,"Timothy Olyphant, Nick Searcy",8.519807103837609
2012,The Untold History of the United States,"Oliver Stone, Alan Shearman",8.51789930495411
1995,Shin Seiki Evangelion,"Megumi Ogata, Megumi Hayashibara",8.51667213944616
1986,Dragon Ball: Doragon bôru,"Masako Nozawa, Jôji Yanami",8.516435849799109
1989,Poirot,"David Suchet, Hugh Fraser",8.515783666153618
2001,Justice League,"Carl Lumbly, Phil LaMarr",8.514476411936114
1968,The Bugs Bunny/Road Runner Hour,"Mel Blanc, Jim Backus",8.51383284443055
2010,Adventure Time with Finn & Jake,"John DiMaggio, Jeremy Shada",8.512956052148489
2010,Boardwalk Empire,"Steve Buscemi, Kelly Macdonald",8.512730710811065
2004,Samurai chanpurû,"Kazuya Nakai, Ginpei Sato",8.511689607065135
2019,The Family Man,"Manoj Bajpayee, Priyamani",8.51160436012114
1995,Dragon Ball,"Brice Armstrong, Steve Olson",8.510137654924533
2007,Flight of the Conchords,"Jemaine Clement, Bret McKenzie",8.506325407354684
2017,The Defiant Ones,"Dr. Dre, Jimmy Iovine",8.50587801929453
1988,Mystery Science Theater 3000,"Joel Hodgson, Michael J. Nelson",8.505322532711784
2008,Generation Kill,"Alexander Skarsgård, James Ransone",8.50191439415903
2010,Louie,"Louis C.K., Hadley Delany",8.500476698803535
2016,The Night Of,"Riz Ahmed, John Turturro",8.498892208318553
2017,Big Little Lies,"Reese Witherspoon, Nicole Kidman",8.498464930042429
2017,Twin Peaks,"Kyle MacLachlan, Sheryl Lee",8.497441828542847
2006,The IT Crowd,"Chris O'Dowd, Richard Ayoade",8.496531169959432
2000,Coupling,"Jack Davenport, Gina Bellman",8.496482727995485
1986,"Yes, Prime Minister","Paul Eddington, Nigel Hawthorne",8.496217249045872
2019,The Dark Crystal: Age of Resistance,"Neil Sterenberg, Beccy Henderson",8.495069444193156
1990,Mr. Bean,"Rowan Atkinson, Robin Driscoll",8.489514660688085
2014,Silicon Valley,"Thomas Middleditch, T.J. Miller",8.489398442337125
1955,Alfred Hitchcock Presents,"Alfred Hitchcock, Harry Tyler",8.488354666701678
2011,Impractical Jokers,"Brian Quinn, James Murray",8.4858319979718
2019,Formula 1: Drive to Survive,"Fernando Alonso, Valtteri Bottas",8.48167370739836
2018,Queer Eye,"Bobby Berk, Karamo Brown",8.480911787919698
2015,Mr. Robot,"Rami Malek, Christian Slater",8.479064868628843
2016,Horace and Pete,"Louis C.K., Steve Buscemi",8.478948671491976
2005,Gintama,"Tomokazu Sugita, Daisuke Sakaguchi",8.478430898912213
2017,The Punisher,"Jon Bernthal, Amber Rose Revah",8.47745293934443
1998,Whose Line Is It Anyway?,"Drew Carey, Colin Mochrie",8.47686966627191
2011,Spartacus: Gods of the Arena,"John Hannah, Manu Bennett",8.476270024559497
2012,Endeavour,"Shaun Evans, Roger Allam",8.474740472237666
1993,Homicide: Life on the Street,"Richard Belzer, Clark Johnson",8.472391032295556
2008,John Adams,"Paul Giamatti, Laura Linney",8.472124277715643
2013,Vikings,"Katheryn Winnick, Gustaf Skarsgård",8.469387918776869
2001,The Office,"Ricky Gervais, Martin Freeman",8.468230161463065
2013,Hannibal,"Hugh Dancy, Mads Mikkelsen",8.468166119361616
2000,Black Books,"Dylan Moran, Bill Bailey",8.463977520499222
2008,Sons of Anarchy,"Charlie Hunnam, Katey Sagal",8.46205464702457
2014,Detectorists,"Mackenzie Crook, Toby Jones",8.46191186584006
1997,The New Batman Adventures,"Kevin Conroy, Tara Strong",8.46164465104537
1997,I'm Alan Partridge,"Steve Coogan, Simon Greenall",8.461376520793637
2016,Letterkenny,"Jared Keeso, Michelle Mylett",8.46039904693855
2008,Dr. Horrible's Sing-Along Blog,"Neil Patrick Harris, Nathan Fillion",8.45914559498144
2017,Anne,"Amybeth McNulty, Geraldine James",8.45774750727981
2016,Boku dake ga inai machi,"Ben Diskin, Shinnosuke Mitsushima",8.453673532825526
